Variable,5th Percentile,Max Likelihood solution,95th Percentile,Unit
F1,15646.430909235642,20299.275494466463,24641.417490950877,tons per month
F2,699.8423476314816,1069.1920493505,1927.2456428149771,tons per month
F3,2871.417859323449,3482.6541768521374,4039.4350432931556,tons per month
F4,6482.788855509243,9465.780524855309,12400.375979966715,tons per month
F5,4604.797587416579,6281.6487434085175,7767.629062195908,tons per month
F6,936.2810530110777,1118.3163594664068,2102.5394546867356,tons per month
F7,50.253322857993055,103.30385088820496,288.67544839125617,tons per month
F8,699.8423476314816,1069.1920493505,1927.2456428149771,tons per month
F9,907.6180057919867,1079.6592156548734,1670.5227802442034,tons per month
F10,1070.5281032359615,1221.6202103546118,2270.952222565537,tons per month
F11,395.65244039142806,366.5888660514945,855.4110950836707,tons per month
F12,1803.5646690323877,2402.994961197264,2598.6013941109036,tons per month
F13,5803.623191313632,8714.053031440399,11674.301238035641,tons per month
F14,2723.2805566964594,3003.882609308491,3788.335063487815,tons per month
F15,1803.5646690323877,2402.994961197264,2598.6013941109036,tons per month
F16,2723.2805566964594,3003.882609308491,3788.335063487815,tons per month
F17,108.47331472980805,178.40223912621084,232.05268095450475,tons per month
F18,2885.40610602822,3182.284848434702,3953.943176192993,tons per month
F19,176.09723593677,227.42810792801708,269.0957038484152,tons per month
F20,1486.1322160846498,1997.164614143036,2148.1806508724962,tons per month
F21,5803.623191313632,8714.053031440399,11674.301238035641,tons per month
F22,4283.393290630053,5821.993561502556,7221.490445890971,tons per month
F23,317.32832553886254,459.6551819059613,552.7007590945315,tons per month
F24,4283.393290630053,5821.993561502556,7221.490445890971,tons per month
F25,317.32832553886254,459.6551819059613,552.7007590945315,tons per month
Mismanagement Rate,0.5117034395449771,0.5639658545873009,0.5916984507411993,%
Management Rate,0.4083015492588005,0.4360341454126992,0.488296560455023,%
Recovery Rate,0.22193463923910325,0.2663581550967007,0.3439472274218951,%
Recycling Rate,0.1365458891304514,0.1567683954682119,0.21405436041267398,%
RP Recovery Rate,0.4267059035326607,0.4899012358381623,0.6689198762896064,%
NRP Recovery Rate,0.11159249591640429,0.1611614112183658,0.20125453741074498,%
IWS Recovery Rate,0.12929169961562803,0.1479797941619809,0.20426204554661936,%
PET Recovery Rate,0.6206631324111428,0.7125836157645997,0.9729743655121547,%
Per cap Plastic Waste Gen (min),73.45742210908752,95.30176288481908,115.68740606080223,kg per person per day
Per cap Plastic Waste Gen (max),81.40279334704563,105.60988239148048,128.20049680532165,kg per person per day
